IdEstablecimiento,Ano,Mes,Numerador,Denominador,MetaSanitaria,Dependencia Administrativa,Nivel de Atención
109104,2025,10,1.0,,MSI,Servicio de Salud,Pendiente
109104,2025,11,0.0,,MSI,Servicio de Salud,Pendiente
109104,2026,2,2.0,1.0,MSI,Servicio de Salud,Pendiente
109300,2025,10,0.0,0.0,MSI,Municipal,Primario
109300,2025,11,1.0,0.0,MSI,Municipal,Primario
109300,2025,12,1.0,0.0,MSI,Municipal,Primario
109300,2026,1,,1.0,MSI,Municipal,Primario
109300,2026,2,0.0,2.0,MSI,Municipal,Primario
109300,2026,3,,0.0,MSI,Municipal,Primario
109301,2025,10,5.0,5.0,MSI,Municipal,Primario
109301,2025,11,4.0,3.0,MSI,Municipal,Primario
109301,2025,12,2.0,4.0,MSI,Municipal,Primario
109301,2026,1,4.0,6.0,MSI,Municipal,Primario
109301,2026,2,,0.0,MSI,Municipal,Primario
109301,2026,3,2.0,6.0,MSI,Municipal,Primario
109302,2025,10,,0.0,MSI,Municipal,Primario
109302,2025,11,,0.0,MSI,Municipal,Primario
109302,2025,12,1.0,,MSI,Municipal,Primario
109302,2026,1,,0.0,MSI,Municipal,Primario
109302,2026,3,0.0,,MSI,Municipal,Primario
109303,2025,10,1.0,6.0,MSI,Municipal,Primario
109303,2025,11,1.0,2.0,MSI,Municipal,Primario
109303,2025,12,3.0,,MSI,Municipal,Primario
109303,2026,1,3.0,2.0,MSI,Municipal,Primario
109303,2026,2,1.0,2.0,MSI,Municipal,Primario
109303,2026,3,4.0,0.0,MSI,Municipal,Primario
109304,2025,10,4.0,0.0,MSI,Municipal,Primario
109304,2025,11,0.0,,MSI,Municipal,Primario
109304,2025,12,0.0,,MSI,Municipal,Primario
109304,2026,1,,0.0,MSI,Municipal,Primario
109304,2026,2,,0.0,MSI,Municipal,Primario
109304,2026,3,,4.0,MSI,Municipal,Primario
109305,2025,10,1.0,5.0,MSI,Municipal,Primario
109305,2025,11,0.0,3.0,MSI,Municipal,Primario
109305,2025,12,4.0,2.0,MSI,Municipal,Primario
109305,2026,1,0.0,3.0,MSI,Municipal,Primario
109305,2026,2,1.0,3.0,MSI,Municipal,Primario
109305,2026,3,2.0,2.0,MSI,Municipal,Primario
109307,2025,10,1.0,1.0,MSI,Municipal,Primario
109307,2025,11,0.0,2.0,MSI,Municipal,Primario
109307,2025,12,2.0,0.0,MSI,Municipal,Primario
