IdEstablecimiento,MS,Inscritos_suma_fonasa
109300,II,24600.0
109301,II,14252.0
109302,II,9202.0
109303,II,9936.0
109304,II,3298.0
109305,II,7560.0
109307,II,7157.0
109308,II,7886.0
109309,II,6875.0
109310,II,16389.0
109311,II,13478.0
109312,II,4721.0
109313,II,12859.0
109314,II,7795.0
109315,II,12913.0
109316,II,13228.0
109317,II,3874.0
109320,II,3674.0
109321,II,9163.0
109323,II,5429.0
109324,II,16359.0
109390,II,7873.0
109407,II,3084.0
109410,II,130.0
109412,II,201.0
109413,II,193.0
109414,II,640.0
109416,II,11.0
109417,II,35.0
109418,II,40.0
109419,II,31.0
109420,II,14.0
109709,II,2297.0
109711,II,1932.0
109712,II,2041.0
109713,II,1125.0
109715,II,1166.0
109716,II,348.0
109718,II,2626.0
110160,II,6130.0
110300,II,2.0
110308,II,12042.0
110310,II,9004.0
110315,II,11604.0
110316,II,8977.0
110320,II,12098.0
110325,II,9972.0
110330,II,11473.0
110331,II,6790.0
110335,II,9042.0
110340,II,11297.0
110345,II,8656.0
110350,II,16460.0
110351,II,11794.0
110352,II,11377.0
110353,II,7868.0
110354,II,16043.0
110355,II,10174.0
110360,II,17291.0
110361,II,11244.0
110362,II,8110.0
110364,II,5183.0
110366,II,18549.0
110369,II,12062.0
110370,II,8902.0
110375,II,5382.0
110378,II,10367.0
110379,II,10164.0
110380,II,2777.0
110381,II,2105.0
110385,II,2323.0
110387,II,2971.0
110390,II,17301.0
110393,II,2087.0
110400,II,521.0
110410,II,225.0
110425,II,3291.0
110430,II,265.0
110431,II,328.0
110432,II,304.0
110440,II,2090.0
110445,II,1383.0
110455,II,537.0
110465,II,939.0
110470,II,420.0
110475,II,959.0
110477,II,341.0
110485,II,379.0
110490,II,146.0
110492,II,194.0
110495,II,543.0
110503,II,496.0
110505,II,5.0
110510,II,28.0
110515,II,5.0
110720,II,10.0
110725,II,14.0
110735,II,28.0
110750,II,113.0
110752,II,257.0
110754,II,199.0
110756,II,217.0
110758,II,210.0
110760,II,673.0
110775,II,569.0
110778,II,1490.0
110781,II,810.0
110783,II,434.0
111300,II,22197.0
111301,II,9348.0
111302,II,7419.0
111303,II,5147.0
111304,II,12934.0
111305,II,9609.0
111306,II,8718.0
111307,II,7398.0
111308,II,9213.0
111309,II,8805.0
111310,II,18648.0
111351,II,104.0
111370,II,17731.0
111372,II,7111.0
111376,II,13924.0
111378,II,10766.0
111379,II,12306.0
111380,II,14310.0
111381,II,29504.0
111382,II,14248.0
111383,II,9950.0
111400,II,110.0
111704,II,532.0
111780,II,249.0
111781,II,198.0
111782,II,208.0
111783,II,775.0
111784,II,486.0
112300,II,3.0
112301,II,10627.0
